Добавлен,Название,Год,Жанр,Актёры,Оценка,Комментарий
24.04.2018 13:00:00,Beautiful ,2010,,,,
24.04.2018 19:37:12,Отступники,,,ДиКаприо,,
25.04.2018 13:00:00,Битва токов ,2017,,,,
26.04.2018 13:00:00,Шанхайский перевозчик ,2017,,,,
27.04.2018 13:00:00,Афера доктора нока ,2017,,,,
28.04.2018 10:40:21,White polar,,Сериал,,,
28.04.2018 10:40:56,(белые воротнички),,Тот сериал,,,
28.04.2018 13:00:00,Вилла Капри ,2017,,,,
29.04.2018 13:00:00,Черная пантера ,2018,,"Т Чакка, Т чалла, ",5,Ну че т такое
30.04.2018 13:00:00,Новые мутанты ,2018,,,,
30.04.2018 18:15:41,Поворот не туда,,,,,
30.04.2018 18:15:59,У холмов есть глаза,,,,,
01.05.2018 13:00:00,Кавалерия ,2018,,,,
02.05.2018 13:00:00,Электрические сны филлипа к дика ,2018,,,,
02.05.2018 18:24:30,Видели ночь,2017,,,,
02.05.2018 18:25:21,Мой парень- псих,2012,,,,
02.05.2018 20:47:32,Дом хэмигуэй,2013,,,,
02.05.2018 20:49:48,Шерлок Холмс и доктор Ватсон,1979,,,,
02.05.2018 20:54:31,Вернуть отправителю,2015,,,,
02.05.2018 20:58:53,Кто я,2014,"Триллер, драма, криминал",,,
02.05.2018 20:59:24,Затмение,2015,Триллер,,,
02.05.2018 20:59:49,"Прежде, чем я усну",2014,,,,
02.05.2018 21:04:56,Страховщик,2014,Фантастика,,,
02.05.2018 21:06:34,Морган,2016,,,,
02.05.2018 21:14:48,Побочный эффект,2013,,,,
02.05.2018 21:16:54,Ключ от всех дверей,2005,Ужасы,,8,Прикольный фильмец с неожиданной развязкой
02.05.2018 21:17:29,Из ада,2001,,Джонни Депп,,
02.05.2018 21:18:49,28 дней спустя,,,,,
02.05.2018 21:21:03,Приют,2007,Ужасы,,,
02.05.2018 21:21:22,Костяной томагавк,2015,,,,
02.05.2018 21:21:45,Райское озеро,2008,Ужасы,,,
02.05.2018 21:22:36,Ярость,2014,Боевик,Бред Питт,,
02.05.2018 21:23:22,Из Парижа с любовью,2010,,,,
02.05.2018 21:23:48,Уцелевший,2013,Боевик,,,
02.05.2018 21:24:12,Поезд на юму,2007,Боевик,,,
02.05.2018 21:24:48,Патриот,2000,Боевик,Мел Гибсон,,
02.05.2018 21:25:27,Вавилон н.э.,2008,"Боевик, фантастика, приключения",Вин дизель,,
02.05.2018 21:27:56,Драйвера на ночь,2010,Комедия,,,
02.05.2018 21:29:44,Жить,2012,Драма,,,
02.05.2018 21:30:23,Свет в окне,,Драма,,,
02.05.2018 21:34:16,Мистериум. Начало,2013,"Триллер, драма",,,
02.05.2018 21:35:00,Лица в толпе,2011,Триллер,Мила Йовович,,
02.05.2018 21:35:48,Мёрзлая земля,2013,Триллер,Николас Кейдж,,
02.05.2018 21:36:39,Попутчик,2007,"Боевик, триллер, криминал",,,
02.05.2018 21:37:18,"Я, Алекс кросс",2012,"Триллер, детектив",,,
02.05.2018 21:37:51,Дом напротив,2016,"Триллер, ужасы",,,
02.05.2018 21:38:22,Ворон,2012,Триллер,Джон кьюсак,,
02.05.2018 21:40:10,Лекарь: ученик Авиценны,2013,Приключения,,,
02.05.2018 21:44:13,Уличный боец,1994,Боевик,Жан-Клод Ван Дамм,,
03.05.2018 13:00:00,Няня ,2017,,,,
03.05.2018 19:33:23,Транс,,Криминал,,,
03.05.2018 19:33:35,Небезопасно для работы,,,,,
03.05.2018 19:34:29,Проклятая волна,,Индия,,,
04.05.2018 13:00:00,Эспен в королевстве троллей ,2017,,,,
05.05.2018 13:00:00,Движение вверх,2018,,,,
06.05.2018 13:00:00,Драка в блоке 99 ,2017,,,,
07.05.2018 13:00:00,Библиотекарь,,,,,
08.05.2018 13:00:00,Роман с камнем,,,,,
09.05.2018 13:00:00,Жемчужина Нила,,,,,
10.05.2018 13:00:00,Три короля,,,,,
10.05.2018 17:03:06,Хищник,2018,,,8,"Странно смотрится комедийная часть, как-то не к месту. остальное огонь"
11.05.2018 13:00:00,Сахара,,,,,
12.05.2018 13:00:00,Рэмпейдж ,2018,,,6,На раз
13.05.2018 13:00:00,Бахубали рождение легенды ,2018,,,,
14.05.2018 13:00:00,Roman Is. esq ,2018,,,,
15.05.2018 13:00:00,монстры на каникулах,,,,,
16.05.2018 12:39:16,Джек Райан: теория хаоса,2013,Бонвик,"Крис Пайн, Кира Найтли",8,"смотрю второй раз вроде. прикольно, сюжет захватывающий и экшона нормально. "
16.05.2018 13:00:00,санта и компания ,2017,,,,
16.05.2018 16:13:21,Ларго винч и Ларго Винч Заговор в бирме,,,,10,"Прикольный сюжет, даже пара твистов есть, напоминает борна. "
17.05.2018 13:00:00,величайшй шоумен ,2018,,,,
18.05.2018 13:00:00,секретное досье,2018,,,,
18.05.2018 21:41:10,Балбесы,,,,,
19.05.2018 13:00:00,тихое место,2018,,,5,Концовка слита в ноль
20.05.2018 11:54:14,Конец мира,,Сериал,,10,Прикольно. ждем продолжения?
20.05.2018 11:56:59,Американская история преступлений,,Сериал,,,
